Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"C10, C11, C7, C8",C_Disc_D5.0mm_W2.5mm_P2.50mm,4,100nF,
"C2, C3, C4, C5",C_Disc_D5.0mm_W2.5mm_P2.50mm,4,1uF,C28323
"C6, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,10nF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
J1,BarrelJack_CUI_PJ-063AH_Horizontal,1,5V,
J2,PinHeader_1x04_P2.54mm_Horizontal,1,SERIAL,
J4,SWITCHCRAFT_PJRAN1X1U02X,1,OUT,
J5,SWITCHCRAFT_PJRAN1X1U02X,1,IN,
J6,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,5V,
Q1,TO-92_Inline,1,2N3904,
"R1, R2, R4, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,7,10k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,33k,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,100k,
"RV1, RV2",3386F-1-103LF,2,10k,
U1,DIP-16_W7.62mm_Socket_LongPads,1,MAX232,C59824
"U2, U3",DIP-8_W7.62mm,2,LM555,
U4,DIP-8_W7.62mm,1,LM358,
