Designator,Mid X,Mid Y,Rotation,Layer
C1,105.68,-77.49,90.0,top
C10,165.0,-84.0,0.0,top
C11,152.75,-84.0,0.0,top
C2,114.25,-85.75,180.0,top
C3,106.75,-85.75,180.0,top
C4,91.0,-98.75,180.0,top
C5,91.0,-91.0,180.0,top
C6,149.25,-107.0,270.0,top
C7,144.0,-107.0,270.0,top
C8,121.25,-103.25,180.0,top
C9,128.75,-103.25,0.0,top
D1,139.25,-94.84,270.0,top
J1,96.0,-78.1,180.0,top
J2,131.81,-109.0,270.0,top
J3,108.0,-110.42,0.0,top
J4,164.65,-76.385,180.0,top
J5,152.98,-76.385,180.0,top
J6,114.895,-75.1575,180.0,top
Q1,164.0,-107.02,90.0,top
R1,158.0,-107.04,270.0,top
R2,153.75,-107.04,270.0,top
R3,133.25,-87.0,0.0,top
R4,123.96,-87.0,0.0,top
R5,170.5,-107.04,90.0,top
R6,174.04,-83.75,0.0,top
R7,174.04,-87.25,180.0,top
R8,173.0,-97.29,90.0,top
R9,176.0,-97.29,270.0,top
RV1,139.385,-77.79,90.0,top
RV2,126.29,-77.79,90.0,top
U1,106.73,-94.81,270.0,top
U2,149.81,-94.81,270.0,top
U3,128.73,-94.81,270.0,top
U4,164.06,-94.81,270.0,top
